ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
61	487	-1623	-509,2	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P7.mdl
62	296,573	-1623,2	-510	0	0	140	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
63	328	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
64	360	-1638,28	-497,101	30	90	90	6	0	0	0	models/scenery/structural/sewerpipes/pipemed_p10.mdl
65	424,573	-1622,97	-509,398	0	0	150	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
66	200	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
67	72	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
68	-56	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
69	-184	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
70	-376	-1666	-481	0	0	-90	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P11.mdl
71	-312	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P7.mdl
72	-344	-1666	-481	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P7.mdl
73	-440	-1730	-481	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
74	-440	-1858	-481	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
75	-440	-1986	-481	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
76	-440	-2114	-482	0	90	180	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P10.mdl
77	-26	-1714	-509,2	0	0	-147	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
78	-256	-1710	-510	0	0	-90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P11.mdl
79	-154	-1714	-509,2	0	0	-132	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P5.mdl
80	-384	-1837	-509	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipelarge_P7.mdl
81	-384	-1901	-509	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipelarge_P7.mdl
82	-384	-1965	-509	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipelarge_P8.mdl
83	-320,307	-2029	-541,187	90	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P9.mdl
84	-351,813	-2029	-509,187	0	0	90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P9.mdl
85	-320	-2029	-701	90	90	0	6	2	0	0	models/scenery/structural/SewerPipes/PipeLarge_P8.mdl
86	-90	-1728	-522,97	-33	90	-90	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P4.mdl
87	-90	-1824	-551	-52	270	-180	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P10.mdl
88	-438	-2188,29	-673	0	270	0	0	0	0	0	models/scenery/structural/sewerparts/sewerarchstandard.mdl
89	761	-1673	-655	0	0	90	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p4.mdl
90	-554	-1563	-675	0	187,5	0	6	0	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses2.mdl
91	-569,493	-1649,39	-648,862	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
92	-77,6508	-1569,98	-537,369	0	271	0	6	0	0	0	models/scenery/structural/sewer/spillpipe.mdl
93	165,616	-1564,36	-537,369	0	271	0	6	0	0	0	models/scenery/structural/sewer/spillpipe.mdl
94	530	-246,98	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
95	595	-1486	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
96	595	-1628	-486	90	90	90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
97	595	-1770	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
98	595	-1912	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
99	585	-1912	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
100	595	-1344	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
101	585	-1770	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
102	585	-1628	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
103	585	-1486	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
104	585	-1344	-486	90	0	0	6	1	3	1	models/scenery/pipes/rusty_pipes/pipea.mdl
105	51,9827	-1647,22	-477,038	90	270	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
106	193,983	-1647,22	-477,038	90	270	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
107	595	-2031	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
108	585	-2031	-486	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
109	530	-815	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
110	530	-673	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
111	447,767	-589	-349	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
112	450,767	-836	-378	60	0	-90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
113	694,364	-205,06	-474	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
114	694,364	-332,06	-474	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
115	668	-269	-474	-90	90	0	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
116	693	-205	-474	0	270	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
117	450,126	19	-379	60	0	-90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
118	449,538	-230,17	-379	60	0	-90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
119	552	-912,709	-537	0	270	0	0	0	0	0	models/scenery/structural/sewerparts/sewerarchstandard.mdl
120	552,5	-912,5	-446	0	90	0	6	0	0	0	models/scenery/structural/sewer/sew_bars.mdl
121	717	-2219	-674	0	180	0	6	0	0	0	models/scenery/structural/sewer_computers/bigblue.mdl
122	389	-2293	-674	0	0	0	6	0	0	0	models/scenery/structural/sewer_computers/bigblue_2.mdl
123	442	-2138	-546	-90	180	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p5.mdl
124	442	-2138	-418	-90	0	0	6	2	0	0	models/scenery/structural/sewerpipes/pipelarge_p4.mdl
125	699	-2373	-546	-90	50	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p4.mdl
126	700	-2374	-418	-90	0	0	6	2	0	0	models/scenery/structural/sewerpipes/pipelarge_p5.mdl
127	404,921	-2426,66	-675	90	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
128	468,921	-2426,66	-610	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
129	596	-2427	-610	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
130	595,921	-2426,66	-610	0	180	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
131	-698,5	-162,5	-519	0	90	0	6	0	0	0	models/scenery/structural/sewerparts/sewerarchstandard.mdl
132	-279,547	-524,36	-286	0	90	0	0	0	0	0	models/scenery/structural/plaguebearer_sewer/plague_support.mdl
133	-550	-257	-267	0	90	0	6	0	0	0	models/scenery/structural/gargoyle/mad_gargoyle.mdl
134	-975,547	-521	-286	0	90	0	0	0	0	0	models/scenery/structural/plaguebearer_sewer/plague_support.mdl
135	-836	-257	-267	0	90	0	6	0	0	0	models/scenery/structural/gargoyle/mad_gargoyle.mdl
136	-40,7085	-534	-535	0	180	0	0	0	0	0	models/scenery/structural/sewerparts/sewerarchstandard.mdl
137	-778	-174	-174	0	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
138	-778	-430	-174	0	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
139	-778	-686	-174	0	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
140	-133	80	-202	0	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p1.mdl
141	710	-41	-365	-45	0	90	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
142	664	55	-410	0	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p8.mdl
143	664	87	-410	0	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p8.mdl
144	664	87	-410	0	270	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
145	601,227	148,738	-472	0	180	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
146	538	123	-472	-90	180	0	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
147	474,227	148,738	-472	0	180	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
148	411,8	150,079	-536	90	180	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
149	664	151,079	-536	90	180	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p7.mdl
150	-211	-847	-66	-90	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
151	-211	-847	-322	-90	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
152	-19	-847	-387,197	0	0	-30	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p4.mdl
153	1618,61	-367,948	-567	0	265	0	6	0	0	0	models/scenery/structural/sewer/sew_stair01.mdl
154	1715,76	-903,595	-727,369	0	123	0	6	0	0	0	models/scenery/structural/sewer/spillpipe.mdl
155	1459,2	-549,921	-923	-90	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
156	1522,92	-549,921	-859	0	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
157	1459,28	-597,841	-923	-90	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
158	1523	-597,841	-859	0	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
159	1539,18	-672,7	-923	-90	60	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
160	1571,04	-617,513	-859	0	60	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
161	1580,72	-696,592	-923	-90	60	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
162	1612,58	-641,404	-859	0	60	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
163	1716,48	-508,095	-997,8	-90	220	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
164	1667,67	-549,057	-933,8	0	220	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
165	1685,62	-471,437	-997,8	-90	220	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
166	1636,8	-512,399	-933,8	0	220	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p10.mdl
167	1999,36	-712,641	-462	0	166,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P5.mdl
168	1999,53	-712,765	-461,8	0	346,5	90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
169	2029,41	-588,301	-461,8	0	346,5	-90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
170	2029,36	-587,655	-462	0	166,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P5.mdl
171	2092,42	-603,427	-526	-90	106,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
172	2061,35	-728,553	-526	-90	166,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
173	2055,28	-753,835	-590	0	346,5	-180	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
174	2067,02	-610,699	-590	0	286,5	180	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
175	1233,04	-628,364	-364	0	203,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P9.mdl
176	1270,93	-715,485	-364	0	203,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P9.mdl
177	1271,07	-715,344	-366,4	0	23,5	90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
178	1232,79	-627,306	-366,4	0	23,5	90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
179	1635	-1085	-264	0	341	90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P2.mdl
180	1856	-177	-384	0	134,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P6.mdl
181	1665,49	-639,044	-623	0	133,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p9.mdl
182	1687,02	-662,396	-656	-90	14,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p2.mdl
183	1572,92	-496,409	-623	0	302,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p9.mdl
184	1556,24	-469,377	-656	-90	183,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p2.mdl
185	1505	-508	-576	-90	90	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p1.mdl
186	1533	-526	-544	0	325,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p9.mdl
187	1496,87	-643,133	-576	-90	157,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p1.mdl
188	1524,21	-624,153	-544	0	33	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p9.mdl
189	1716,54	-625,083	-576	-90	282,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p1.mdl
190	1685,31	-613,571	-544	0	158	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p9.mdl
191	1987,08	-602,573	-176	0	90	-180	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
192	1987,08	-602,573	-175,2	0	270	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
193	1987,08	-346,573	-176	0	270	180	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
194	1927,58	-459,225	-727,369	0	203	0	6	0	0	0	models/scenery/structural/sewer/spillpipe.mdl
195	1612,81	-556,453	-1170	0	10	0	0	18	0	0	models/scenery/structural/SewerParts/RoundRoom.mdl
196	1395,67	-307,934	-727,369	0	323	0	6	0	0	0	models/scenery/structural/sewer/spillpipe.mdl
197	1687,81	-579	-1009	0	180	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p9.mdl
198	1720	-579	-1041	-90	270	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p4.mdl
199	1631,77	-531,903	-750	0	227,5	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p11.mdl
200	1718,74	-436,903	-877	-90	0	0	6	0	0	0	models/scenery/structural/sewerpipes/pipelarge_p2.mdl
201	1611	-866	-153	14	90	90	6	0	0	0	models/scenery/structural/warrens/warr_4_pipes.mdl
202	1558,2	-192,637	-932,582	0	9,49998	0	6	0	0	0	models/scenery/pipes/rusty_pipes/ducta_corner.mdl
203	1562,34	-212,459	-1079,42	0	32	90	6	0	0	0	models/scenery/pipes/rusty_pipes/ducta.mdl
204	-320	-2029	-669	90	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
205	-465	-158	-165	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
206	-336	-158	-165	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
207	-400	-270	-17	-90	0	0	6	2	0	0	models/scenery/structural/sewerpipes/pipelarge_p3.mdl
208	-272	-213	-363	0	90	90	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P11.mdl
209	-702	-164	-444	0	90	0	6	0	0	0	models/scenery/structural/sewer/sew_bars.mdl
210	-336	-149	-363	0	180	90	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P11.mdl
211	1713,04	-899,401	-727,369	0	123	0	6	0	0	0	models/scenery/structural/sewerparts/waterfall_big.mdl
212	-375	-2357	-567	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/Pipemed_P3.mdl
213	1497,4	-271,168	-626,38	70	278,5	0	0	0	0	0	models/scenery/structural/warrens/warr_02_ladder.mdl
214	-845,453	-797,453	-536,829	0	0	0	0	0	0	0	models/scenery/structural/tower/tower.mdl
215	548	-67,7085	-446	0	90	0	6	0	0	0	models/scenery/structural/sewer/sew_bars.mdl
216	-628,888	-797,453	-536,829	0	0	0	0	0	0	0	models/scenery/structural/tower/tower.mdl
217	-413,888	-797,453	-536,829	0	0	0	0	0	0	0	models/scenery/structural/tower/tower.mdl
218	1619,54	-559,536	15,8019	0	0	0	0	16	0	0	models/scenery/structural/SewerParts/BigFanFrame.mdl
219	1935,34	-458	-727	0	202	0	6	0	0	0	models/scenery/structural/sewerparts/waterfall_big.mdl
220	1397,93	-308,6	-728	0	320	0	6	0	0	0	models/scenery/structural/sewerparts/waterfall_big.mdl
221	1639	-247	-561	0	266,5	0	0	0	0	0	models/scenery/structural/sewer/sew_stair04.mdl
222	1833,25	-1004,34	-355	0	293,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeMed_P11.mdl
223	1222,75	-205,941	-325	0	201,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeMed_P2.mdl
224	1460,06	-112,763	-325	0	201	-90	6	0	0	0	models/scenery/structural/SewerPipes/PipeMed_P5.mdl
225	1519,78	-89,852	-324	0	201	-90	6	0	0	0	models/scenery/structural/SewerPipes/PipeMed_P9.mdl
226	1440,76	-78,5337	-824,27	29	109,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeSmall_P11.mdl
227	1470,79	-68,4158	-824,27	29	109,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeSmall_P11.mdl
228	1776,17	-1040,21	-355	0	293,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeMed_P11.mdl
229	1482,87	-103,744	-858,27	29	109,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeSmall_P6.mdl
230	1452,84	-113,862	-858,27	29	109,5	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeSmall_P6.mdl
231	0	0	0	0	0	0	0	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
